Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","USL Championship","Sporting Jax","Loudoun United FC","Soccer","USL Championship","Sporting Club Jacksonville","Loudoun United FC","Soccer","USL Championship","Sporting Club Jacksonville","Loudoun United FC"
"Soccer","USL Championship","Sporting Club Jacksonville","Loudoun United FC","Soccer","USL Championship","Sporting Jax","Loudoun United FC"
"Soccer","Estonia Cup","Elva","Tallinna Kalev","Soccer","Estonia Estonia Cup","FC Elva","JK Tallinna Kalev"
"Basketball","WNBA","New York Liberty","Atlanta Dream","Basketball","WNBA","New York Liberty W","Atlanta Dream W"
"Soccer","Japanese League Cup W","JEF United Chiba","Kobe Leonessa","Soccer","Japanese League Cup W","JEF United Chiba","Kobe Leonessa","Soccer","International Other Competitions Soccer","JEF United (W)","INAC Leonessa Kobe (W)"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma"
"Soccer","Japan Emperor�s Cup","FC Machida","Tochigi Uva FC","Soccer","Japan Emperor�s Cup","Machida Zelvia","Tochigi City"
"Soccer","Japan Japan Emperor's Cup","Machida Zelvia","Tochigi City FC","Soccer","Japan Emperor�s Cup","Machida Zelvia","Tochigi City","Soccer","Japan Emperor�s Cup","FC Machida","Tochigi Uva FC"
"Soccer","Japan Japan Emperor's Cup","Machida Zelvia","Tochigi City FC","Soccer","Japan Emperor�s Cup","Machida Zelvia","Tochigi City","Soccer","Japanese Emperor Cup","FC Machida","Tochigi Uva FC"
"Tennis","ATP Challenger","Ab Shelbayh","Andr Andrade","Tennis","ATP Challenger","Abedallah Shelbayh","Andy Andrade"
"Soccer","Japan Emperor�s Cup","Kashima","Kofu","Soccer","Japan Emperor�s Cup","Kashima Antlers","Ventforet Kofu","Soccer","Japanese Emperor Cup","Kashima","Kofu"
"Soccer","Japan Emperor�s Cup","Kashima","Kofu","Soccer","Japan Japan Emperor's Cup","Kashima Antlers","Ventforet Kofu"
"Soccer","Japanese Emperor Cup","Kashiwa","FC Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","FC Imabari"
"Soccer","Japan Emperor�s Cup","Kashiwa Reysol","FC Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","FC Imabari","Soccer","Japanese Emperor Cup","Kashiwa","FC Imabari"
"Soccer","Japanese Emperor Cup","Kashiwa","FC Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","FC Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","FC Imabari"
"Soccer","Japan Emperor�s Cup","Machida Zelvia","Tochigi City","Soccer","Japan Japan Emperor's Cup","Machida Zelvia","Tochigi City FC"
"Soccer","International Other Competitions Soccer","Urawa Red Diamonds (W)","Parceiro Nagano (W)","Soccer","Japanese League Cup W","Urawa Red Diamonds","Nagano Parceiro"
"Soccer","Japan Emperor�s Cup","Kashima Antlers","Ventforet Kofu","Soccer","Japan Japan Emperor's Cup","Kashima Antlers","Ventforet Kofu","Soccer","Japanese Emperor Cup","Kashima","Kofu"
"Soccer","Japan Emperor�s Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japan Emperor�s Cup","G-Osaka","Tokushima"
"Soccer","Japan Emperor�s Cup","FC Machida","Tochigi Uva FC","Soccer","Japan Emperor�s Cup","Machida Zelvia","Tochigi City","Soccer","Japan Emperor�s Cup","FC Machida","Tochigi Uva FC"
"Soccer","AFCON","Namibia","Congo Republic","Soccer","AFCON","Namibia","Congo Republic","Soccer","AFCON","Namibia","Congo"
"Soccer","AFCON","Namibia","Congo Republic","Soccer","AFCON","Namibia","Congo"
"Soccer","Japan Emperor�s Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japan Emperor�s Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japanese Emperor Cup","G-Osaka","Tokushima"
"Soccer","Japan Emperor�s Cup","Kashima","Kofu","Soccer","Japan Emperor�s Cup","Kashima Antlers","Ventforet Kofu"
"Basketball","Czech Republic NBL","SK Slavia Prague","BK Opava","Basketball","Czech Republic NBL","SK Slavia Prague ERA NBK","BK Opava"
"Soccer","Japan Emperor�s Cup","G-Osaka","Tokushima","Soccer","Japan Emperor�s Cup","Gamba Osaka","Tokushima Vortis"
"Soccer","Japan Japan Emperor's Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japan Emperor�s Cup","G-Osaka","Tokushima"
"Soccer","Israel National League","Hapoel Akko","Hapoel Afula","Soccer","Israel National League","Hapoel Acre","Hapoel Afula"
"Soccer","Japan Japan Emperor's Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japan Japan Emperor's Cup","Gamba Osaka","Tokushima Vortis","Soccer","Japan Emperor�s Cup","G-Osaka","Tokushima"
"Soccer","Sweden Division 2","Kongahalla","Lindome GIF","Soccer","Sweden Division 2","Kongahalla","Lindome GIF","Soccer","Sweden Division 2","IK Kongahalla","Lindome"
"Soccer","AFCON","Namibia","Congo","Soccer","AFCON","Namibia","Congo Republic"
"Tennis","WTA 125","Guiomar Maristany Zuleta De Reales","Marta Lombardini","Tennis","WTA 125","G Maristany Zuleta De R","Marta Lombardini"
"Tennis","ATP Challenger Buenos Aires R16","Nicolas Kicker","Hugo Dellien","Tennis","ATP Challenger","Kicker","Hugo Dellien"
"Tennis","ATP Challenger San Diego R16","Patrick Maloney","Igor Marcondes","Tennis","ATP Challenger","Pa Maloney","I Marcondes"
"Tennis","ATP Challenger","Patrick Maloney","Igor Marcondes","Tennis","ATP Challenger","Pa Maloney","I Marcondes"
"Soccer","India BDFA Super Division","Bangalore Dream United","Stride Sports FC","Soccer","India BDFA Super Division","Bangalore Dream United","Stride Sports"
"Soccer","Spain Spanish Primera Federación Group 2","UE Sant Andreu","Real Madrid Castilla","Soccer","Spain Division 3","Sant Andreu","Real Madrid Castilla"
"Basketball","European Euroleague Men","Baskonia Vitoria-Gasteiz","Olympiacos Piraeus","Basketball","Europe Euroleague","Baskonia Vitoria Gasteiz","Olympiakos BC"
"Basketball","European Euroleague Men","Baskonia Vitoria-Gasteiz","Olympiacos Piraeus","Basketball","Euroleague","Baskonia Vitoria-Gasteiz","Olympiacos"
